N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,800,3,2,0.8734683974281209,0.904418555810968,0.8838508393006606,0.7505966587112172,0.8343910676945065,0.7804330404158856
Model2,800,3,2,0.8689797403857819,0.8791974962296878,0.8720584827900494,0.6736276849642004,0.8283262722154108,0.7299288769832734
Model3,800,3,2,0.6663835982045372,0.8397553755630288,0.7197662538820613,0.6455847255369929,0.7057190563254828,0.6709804069690184
Model4,800,3,2,0.8832949168991872,0.9190394348508206,0.8951781231697011,0.7875894988066826,0.8578028239483364,0.8143542455239036
Model5,800,3,2,0.8151158558777144,0.8946862685810466,0.8401168715261691,0.7995226730310262,0.8395198721176217,0.8161101904529564
Model6,800,3,2,0.769258765012738,0.8631105468399943,0.8000046105394549,0.6897374701670644,0.7591641962544675,0.7146359502452264
Model7,800,3,2,0.8494480164988475,0.9074555674402545,0.8690150198670386,0.7482100238663485,0.8209129715881845,0.7706983990469891
Model8,800,3,2,0.7293461118524809,0.8228974189045871,0.7631002556917662,0.5554892601431981,0.7620315647503076,0.6291615660304559
Model9,800,3,2,0.04246026931942254,0.001802874470677895,0.003458883803513998,0.20883054892601433,0.04361019816474047,0.0721527069339635
