N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8536647222926705,0.8949577109980997,0.8675492809732593,0.7638724911452184,0.8121618048401361,0.7835625812695447
Model2,500,2,1,0.795333502409333,0.8825846651200778,0.8233330938339081,0.7378984651711924,0.7659961532369121,0.7451350728273465
Model3,500,3,1,0.6743596246512807,0.8544694516009558,0.7337433205411892,0.4793388429752066,0.6349099832069046,0.4909972173112792
Model4,500,1,2,0.8780116662439766,0.9097801949886878,0.8877906523712383,0.8240850059031877,0.8679863861415893,0.8390297114113473
Model5,500,2,2,0.8328683743342633,0.8917124902484408,0.8479409413673942,0.7697756788665879,0.8293391845419733,0.7743373323825243
Model6,500,3,2,0.7922901344154197,0.868856127441999,0.8188979705968011,0.6623376623376623,0.7258353811246507,0.6834902397738274
Model7,800,1,2,0.80877504438245,0.8836969041487227,0.8298300534075016,0.7863046044864227,0.820660570325938,0.7930216995626947
Model8,800,2,2,0.7428354045143292,0.8291066641211141,0.7630674613785361,0.5442739079102715,0.41743203596779005,0.460549300094751
Model9,800,3,2,0.03956378392087243,0.0036272149361694446,0.0066341603127768375,0.18417945690672963,0.07662942752902974,0.10818645922156273
